タイムスタンプ	ジャンル	group	tag	Des	備考	active
2022/10/19 19:41:20	表情系	face	glowing eyes	発光目		1
2022/10/19 20:21:37	表情系	face	heterochromia	オッドアイ	オッドアイになる。 ただし、瞳孔の形が左右で変わったりと安定しない為、 何回か生成を繰り返す必要がある。	1
		composition	full_body	全身		1
		composition	breasts	胸頭		1
		composition	upper_body	上半身		1
		composition	dutch_angle	上から全体		1
		composition	head_out_of_frame	頭部を枠外に出し		1
		composition	feet_out_of_frame	腰から頭		1
		composition	game_cg	画面全体		1
		composition	multiple_views	複数表示		1
		composition	contrapposto	彫刻たち		1
		composition	head out of frame	頭をフレーム外へ		1
		composition	feet out of frame	足をフレーム外へ		1
		composition	upper body	【絵の中心部分】顔中心		1
		composition	bangs	【絵の中心部分】顔中心		1
		composition	portrait	【絵の中心部分】顔中心		1
		composition	feet	【絵の中心部分】足		1
		composition	lips	【絵の中心部分】口		1
		composition	legs	【絵の中心部分】足		1
		composition	eyelashes	【絵の中心部分】まつ毛		1
		composition	ass	【絵の中心部分】尻		1
		composition	toes	【絵の中心部分】足		1
		composition	thick_thighs	【絵の中心部分】太もも		1
		composition	soles	【絵の中心部分】足裏		1
		composition	pov	【絵の中心部分】主観		1
		composition	selfie	【絵の中心部分】自撮り		1
		composition	Panty shot	【絵の中心部分】パンツ中心		1
		composition	cowboy shot	【絵の中心部分】腰中心？		1
		composition	pov hands	【絵の中心部分】一人称視点、手あり（povだけでは✕、legsも✕）		1
		composition	ass visible through thighs	【絵の中心部分】太ももから見えるお尻		1
		composition	from_side	【キャラの向き】横		1
		composition	sideboob	【キャラの向き】横から胸肩		1
		composition	from_behind	【キャラの向き】後ろ		1
		composition	looking_back	【キャラの向き】後ろ		1
		composition	back	【キャラの向き】お尻から肩		1
		composition	profile	【キャラの向き】顔半分		1
		composition	from_above	【キャラの向き】上から見る		1
		composition	looking up	【キャラの向き】見上げる		1
		composition	from_below	【キャラの向き】下から		1
		composition	looking_down	【キャラの向き】下から		1
		composition	foreshortening	【キャラの向き】小人視点		1
